Crew ID,Base,Count of Non-Base Layover,Count of Invalid Layover
Crew_10610,VIOC,1,1
Crew_10704,TPWY,0,0
Crew_10104,VIOC,0,0
Crew_10134,VIOC,0,0
Crew_10467,VIOC,0,0
Crew_10174,ENDP,0,0
Crew_10694,VIOC,0,0
Crew_10555,VIOC,0,0
Crew_10823,VIOC,0,0
Crew_10529,VIOC,2,0
Crew_10785,VIOC,3,0
Crew_10311,VIOC,1,1
Crew_10421,VIOC,2,0
Crew_10698,VIOC,1,1
Crew_10139,VIOC,0,0
Crew_10667,VIOC,0,0
Crew_10239,VIOC,3,2
Crew_10279,VIOC,4,4
Crew_10442,VIOC,2,1
Crew_10441,VIOC,2,1
Crew_10265,VIOC,4,2
Crew_10199,VIOC,4,3
Crew_10231,VIOC,3,0
Crew_10392,VIOC,3,2
Crew_10316,VIOC,3,2
Crew_10847,VIOC,0,0
Crew_10575,VIOC,1,1
Crew_10856,VIOC,1,1
Crew_10374,VIOC,1,0
Crew_10533,VIOC,2,2
Crew_10474,VIOC,2,2
Crew_10375,VIOC,2,0
Crew_10069,VIOC,2,0
Crew_10244,VIOC,3,1
Crew_10668,VIOC,3,1
Crew_10040,VIOC,3,0
Crew_10445,VIOC,2,1
Crew_10041,VIOC,3,2
Crew_10624,VIOC,2,1
Crew_10287,VIOC,2,2
Crew_10198,RTHW,0,0
Crew_10129,VIOC,0,0
Crew_10044,VIOC,1,0
Crew_10592,RRES,1,0
Crew_10826,VIOC,0,0
Crew_10151,VIOC,1,1
Crew_10686,VIOC,4,1
Crew_10137,RRES,1,0
Crew_10138,VIOC,3,3
Crew_10352,VIOC,4,3
Crew_10212,VIOC,3,0
Crew_10746,RRES,1,0
Crew_10536,RRES,1,0
Crew_10251,VIOC,3,2
Crew_10012,VIOC,2,1
Crew_10515,VIOC,2,2
Crew_10464,VWSF,0,0
Crew_10328,VIOC,2,0
Crew_10364,RRES,1,1
Crew_10224,VIOC,2,1
Crew_10342,VIOC,3,2
Crew_10419,VIOC,3,2
Crew_10506,VIOC,3,1
Crew_10135,RRES,2,1
Crew_10737,VIOC,2,2
Crew_10180,RRES,3,0
Crew_10323,RRES,2,2
Crew_10337,VIOC,2,1
Crew_10216,VIOC,2,0
Crew_10478,VIOC,1,0
Crew_10803,RTWL,2,1
Crew_10321,VIOC,3,2
Crew_10087,VIOC,2,2
Crew_10426,VIOC,2,1
Crew_10089,VIOC,2,2
Crew_10611,VIOC,3,2
Crew_10489,VIOC,3,2
Crew_10223,VIOC,2,2
Crew_10295,VIOC,2,2
Crew_10613,VIOC,3,2
Crew_10185,RRES,1,1
Crew_10348,TPWY,2,1
Crew_10871,ENDP,3,2
Crew_10280,VIOC,0,0
Crew_10561,VIOC,1,0
Crew_10278,TPWY,3,1
Crew_10513,VIOC,2,2
Crew_10288,VIOC,2,1
Crew_10005,RRES,3,2
Crew_10433,RRES,1,1
Crew_10319,VIOC,3,2
Crew_10752,VIOC,1,1
Crew_10269,VIOC,2,0
Crew_10268,RRES,3,0
Crew_10066,RRES,2,0
Crew_10262,RRES,4,1
Crew_10473,VIOC,3,1
Crew_10476,RRES,3,0
Crew_10344,RRES,2,1
Crew_10257,VIOC,2,1
Crew_10256,VIOC,2,1
Crew_10347,RRES,3,2
Crew_10436,RRES,3,0
Crew_10118,TATC,3,1
Crew_10669,ENDP,3,0
Crew_10595,VIOC,2,0
Crew_10145,RRES,2,1
Crew_10147,VIOC,2,1
Crew_10355,RRES,4,1
Crew_10047,RRES,1,1
Crew_10417,VIOC,2,0
Crew_10415,VIOC,2,2
Crew_10832,VIOC,2,1
Crew_10487,VIOC,2,1
Crew_10160,RRES,3,0
Crew_10014,VIOC,1,0
Crew_10410,VIOC,2,1
Crew_10366,VIOC,2,1
Crew_10015,VIOC,3,2
Crew_10730,RRES,5,0
Crew_10481,RRES,5,3
Crew_10790,DQUC,3,0
Crew_10488,VIOC,1,0
Crew_10546,VIOC,1,1
Crew_10593,VIOC,2,2
Crew_10630,ENDP,3,2
Crew_10395,ENDP,3,2
Crew_10178,VIOC,1,0
Crew_10820,VIOC,2,1
Crew_10092,TATC,2,1
Crew_10119,VIOC,4,1
Crew_10573,VIOC,2,0
Crew_10801,VIOC,1,1
Crew_10133,VIOC,1,1
Crew_10608,VIOC,2,2
Crew_10569,VIOC,3,1
Crew_10219,VIOC,1,1
Crew_10822,VIOC,1,1
Crew_10559,VIOC,1,0
Crew_10507,VIOC,1,1
Crew_10490,VIOC,1,0
Crew_10456,VIOC,2,1
Crew_10141,VIOC,0,0
Crew_10153,VIOC,3,0
Crew_10343,VIOC,1,0
Crew_10354,RTHW,0,0
Crew_10579,RTHW,2,2
Crew_10505,RTHW,1,1
Crew_10518,RTHW,1,1
Crew_10206,VIOC,1,1
Crew_10548,VIOC,1,1
Crew_10719,RTHW,1,1
Crew_10588,VIOC,0,0
