crew_id,stayover_outstation_count,deadhead_count,deadhead_position_count,inconsistent_location_count,insufficient_transfer_count,flight_task_limit,duty_task_limit,flight_time_limit,rest_time_limit,duty_time_limit,cycle_rule_count,total_duty_time_limit,unqualified_crew_count,total_duty_days,total_flight_time
Crew_10002,1,4,0,0,0,0,0,0,0,0,0,0,0,1,3.433333333333333
Crew_10003,5,0,0,0,0,0,0,0,0,0,0,0,0,4,29.299999999999997
Crew_10004,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2.8
Crew_10005,6,0,0,0,0,0,0,0,0,0,0,0,0,5,31.25
Crew_10006,2,3,0,0,0,0,0,0,0,0,0,0,0,1,3.816666666666667
Crew_10007,6,0,0,0,0,0,0,0,0,0,0,0,0,4,22.383333333333333
Crew_10010,7,1,0,0,0,0,0,0,0,0,0,0,0,5,31.916666666666664
Crew_10012,6,2,0,0,0,0,0,0,0,0,0,0,0,5,31.41666666666667
Crew_10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10014,2,1,0,0,0,0,0,0,0,0,0,0,0,5,28.633333333333333
Crew_10015,6,0,0,0,0,0,0,0,0,0,0,0,0,5,30.283333333333335
Crew_10016,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.0
Crew_10017,5,0,0,0,0,0,0,0,0,0,0,0,0,5,27.233333333333334
Crew_10018,5,1,0,0,0,0,0,0,0,0,0,0,0,5,23.95
Crew_10019,3,1,0,0,0,0,0,0,0,0,0,0,0,2,11.816666666666666
Crew_10020,7,0,0,0,0,0,0,0,0,0,0,0,0,5,33.766666666666666
Crew_10023,4,2,0,0,0,0,0,0,0,0,0,0,0,5,24.7
Crew_10024,3,1,0,0,0,0,0,0,0,0,0,0,0,2,8.866666666666667
Crew_10025,6,0,0,0,0,0,0,0,0,0,0,0,0,5,23.28333333333333
Crew_10026,2,4,0,0,0,0,0,0,0,0,0,0,0,1,3.2666666666666666
Crew_10028,6,0,0,0,0,0,0,0,0,0,0,0,0,5,30.5
Crew_10029,5,1,0,0,0,0,0,0,0,0,0,0,0,3,20.216666666666665
Crew_10030,5,0,0,0,0,0,0,0,0,0,0,0,0,5,25.283333333333335
Crew_10031,4,0,0,0,0,0,0,0,0,0,0,0,0,5,29.733333333333334
Crew_10032,3,6,0,0,0,0,0,0,0,0,0,0,0,1,2.7333333333333334
Crew_10033,6,0,0,0,0,0,0,0,0,0,0,0,0,4,18.099999999999998
Crew_10034,6,0,0,0,0,0,0,0,0,0,0,0,0,5,23.383333333333333
Crew_10035,2,5,0,0,0,0,0,0,0,0,0,0,0,2,4.216666666666667
Crew_10037,5,0,0,0,0,0,0,0,0,0,0,0,0,5,20.05
Crew_10040,4,0,0,0,0,0,0,0,0,0,0,0,0,4,21.766666666666666
Crew_10041,5,0,0,0,0,0,0,0,0,0,0,0,0,5,24.516666666666666
Crew_10043,6,0,0,0,0,0,0,0,0,0,0,0,0,5,24.433333333333334
Crew_10044,5,0,0,0,0,0,0,0,0,0,0,0,0,5,33.93333333333334
Crew_10045,6,1,0,0,0,0,0,0,0,0,0,0,0,4,22.483333333333334
Crew_10046,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3.0166666666666666
Crew_10047,6,1,0,0,0,0,0,0,0,0,0,0,0,5,32.0
Crew_10048,2,3,0,0,0,0,0,0,0,0,0,0,0,1,3.8833333333333333
Crew_10049,1,1,0,0,0,0,0,0,0,0,0,0,0,2,6.666666666666667
Crew_10050,5,0,0,0,0,0,0,0,0,0,0,0,0,5,32.81666666666666
Crew_10051,5,1,0,0,0,0,0,0,0,0,0,0,0,2,13.733333333333334
Crew_10052,4,1,0,0,0,0,0,0,0,0,0,0,0,2,5.166666666666667
Crew_10053,7,2,0,0,0,0,0,0,0,0,0,0,0,5,34.38333333333334
Crew_10055,6,1,0,0,0,0,0,0,0,0,0,0,0,4,16.21666666666667
Crew_10056,3,0,0,0,0,0,0,0,0,0,0,0,0,5,25.383333333333333
Crew_10059,2,1,0,0,0,0,0,0,0,0,0,0,0,5,25.933333333333334
Crew_10061,6,1,0,0,0,0,0,0,0,0,0,0,0,5,19.116666666666667
Crew_10062,5,1,0,0,0,0,0,0,0,0,0,0,0,2,7.1
Crew_10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10066,7,0,0,0,0,0,0,0,0,0,0,0,0,5,29.85
Crew_10067,2,3,0,0,0,0,0,0,0,0,0,0,0,2,4.783333333333333
Crew_10069,6,0,0,0,0,0,0,0,0,0,0,0,0,5,21.233333333333334
Crew_10070,7,0,0,0,0,0,0,0,0,0,0,0,0,5,25.53333333333333
Crew_10071,5,0,0,0,0,0,0,0,0,0,0,0,0,5,19.8
Crew_10072,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8.116666666666667
Crew_10073,5,0,0,0,0,0,0,0,0,0,0,0,0,5,27.05
Crew_10074,2,2,0,0,0,0,0,0,0,0,0,0,0,4,12.033333333333333
Crew_10075,5,1,0,0,0,0,0,0,0,0,0,0,0,5,36.166666666666664
Crew_10077,1,2,0,0,0,0,0,0,0,0,0,0,0,2,5.75
Crew_10078,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22.599999999999998
Crew_10079,2,0,0,0,0,0,0,0,0,0,0,0,0,5,21.633333333333336
Crew_10080,5,2,0,0,0,0,0,0,0,0,0,0,0,5,31.26666666666667
Crew_10082,0,1,0,0,0,0,0,0,0,0,0,0,0,5,25.616666666666667
Crew_10086,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1.9666666666666666
Crew_10087,3,0,0,0,0,0,0,0,0,0,0,0,0,5,32.23333333333333
Crew_10088,2,5,0,0,0,0,0,0,0,0,0,0,0,2,4.283333333333333
Crew_10089,6,1,0,0,0,0,0,0,0,0,0,0,0,5,27.33333333333334
Crew_10090,1,4,0,0,0,0,0,0,0,0,0,0,0,2,4.316666666666666
Crew_10092,6,0,0,0,0,0,0,0,0,0,0,0,0,5,30.45
Crew_10093,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2.0166666666666666
Crew_10094,1,4,0,0,0,0,0,0,0,0,0,0,0,1,4.666666666666666
Crew_10095,5,0,0,0,0,0,0,0,0,0,0,0,0,4,21.283333333333328
Crew_10096,5,0,0,0,0,0,0,0,0,0,0,0,0,5,28.516666666666666
Crew_10097,1,1,0,0,0,0,0,0,0,0,0,0,0,2,5.083333333333333
Crew_10099,1,5,0,0,0,0,0,0,0,0,0,0,0,2,4.55
Crew_10100,1,4,0,0,0,0,0,0,0,0,0,0,0,1,3.2666666666666666
Crew_10101,1,1,0,0,0,0,0,0,0,0,0,0,0,5,21.516666666666666
Crew_10103,7,0,0,0,0,0,0,0,0,0,0,0,0,5,22.28333333333333
Crew_10104,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10105,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2.35
Crew_10106,5,0,0,0,0,0,0,0,0,0,0,0,0,5,18.916666666666664
Crew_10107,7,0,0,0,0,0,0,0,0,0,0,0,0,5,22.25
Crew_10108,0,2,0,0,0,0,0,0,0,0,0,0,0,5,25.916666666666664
Crew_10109,3,0,0,0,0,0,0,0,0,0,0,0,0,5,24.200000000000003
Crew_10110,5,0,0,0,0,0,0,0,0,0,0,0,0,5,31.48333333333333
Crew_10113,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0.9833333333333333
Crew_10114,5,1,0,0,0,0,0,0,0,0,0,0,0,5,32.2
Crew_10115,4,3,0,0,0,0,0,0,0,0,0,0,0,4,22.23333333333333
Crew_10116,7,3,0,0,0,0,0,0,0,0,0,0,0,4,15.183333333333334
Crew_10117,5,0,0,0,0,0,0,0,0,0,0,0,0,4,23.083333333333336
Crew_10118,6,0,0,0,0,0,0,0,0,0,0,0,0,5,24.16666666666666
Crew_10119,4,0,0,0,0,0,0,0,0,0,0,0,0,5,26.633333333333333
Crew_10120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10123,7,0,0,0,0,0,0,0,0,0,0,0,0,5,25.1
Crew_10124,7,0,0,0,0,0,0,0,0,0,0,0,0,4,13.1
Crew_10125,7,0,0,0,0,0,0,0,0,0,0,0,0,3,14.666666666666664
Crew_10126,2,2,0,0,0,0,0,0,0,0,0,0,0,3,11.833333333333334
Crew_10127,6,0,0,0,0,0,0,0,0,0,0,0,0,5,25.53333333333333
Crew_10128,6,0,0,0,0,0,0,0,0,0,0,0,0,4,19.583333333333332
Crew_10129,2,0,0,0,0,0,0,0,0,0,0,0,0,5,24.150000000000002
Crew_10131,4,1,0,0,0,0,0,0,0,0,0,0,0,5,24.46666666666667
Crew_10133,4,0,0,0,0,0,0,0,0,0,0,0,0,5,26.93333333333333
Crew_10134,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10135,6,0,0,0,0,0,0,0,0,0,0,0,0,4,15.600000000000001
Crew_10136,3,5,0,0,0,0,0,0,0,0,0,0,0,1,2.4
Crew_10137,7,0,0,0,0,0,0,0,0,0,0,0,0,4,21.81666666666667
Crew_10138,6,1,0,0,0,0,0,0,0,0,0,0,0,5,28.56666666666667
Crew_10139,6,0,0,0,0,0,0,0,0,0,0,0,0,5,27.233333333333334
Crew_10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10141,5,0,0,0,0,0,0,0,0,0,0,0,0,5,28.666666666666668
Crew_10142,7,0,0,0,0,0,0,0,0,0,0,0,0,5,25.516666666666666
Crew_10143,5,0,0,0,0,0,0,0,0,0,0,0,0,5,25.4
Crew_10145,6,0,0,0,0,0,0,0,0,0,0,0,0,5,19.083333333333332
Crew_10146,1,3,0,0,0,0,0,0,0,0,0,0,0,1,4.133333333333334
Crew_10147,6,0,0,0,0,0,0,0,0,0,0,0,0,5,27.800000000000004
