crewId,taskId,isDDH
Crew_10002,Flt_13887,0
Crew_10002,Flt_14049,0
Crew_10002,Flt_14159,0
Crew_10002,Flt_14639,0
Crew_10002,Flt_14750,0
Crew_10002,Flt_14867,0
Crew_10002,Flt_15307,0
Crew_10002,Flt_15487,0
Crew_10002,ddh_11458,1
Crew_10002,Flt_17394,0
Crew_10005,ddh_13285,1
Crew_10005,Flt_13777,0
Crew_10005,Flt_13896,0
Crew_10005,Flt_14095,0
Crew_10005,Flt_14806,0
Crew_10005,Flt_15068,0
Crew_10005,Flt_15181,0
Crew_10005,Flt_15379,0
Crew_10005,Flt_15651,0
Crew_10005,Flt_15766,0
Crew_10005,Flt_15892,0
Crew_10005,Flt_17318,0
Crew_10005,Flt_17444,0
Crew_10005,Flt_17547,0
Crew_10006,ddh_12412,1
Crew_10006,Flt_13936,0
Crew_10006,Flt_14139,0
Crew_10006,Flt_14435,0
Crew_10006,Flt_14526,0
Crew_10006,Flt_14621,0
Crew_10006,Flt_14709,0
Crew_10006,Flt_14961,0
Crew_10006,Flt_15737,0
Crew_10006,Flt_15998,0
Crew_10006,Flt_17374,0
Crew_10006,Flt_17489,0
Crew_10006,ddh_11622,1
Crew_10014,ddh_10090,1
Crew_10014,Flt_14054,0
Crew_10014,Flt_14233,0
Crew_10014,Flt_14532,0
Crew_10014,Flt_14802,0
Crew_10014,Flt_15058,0
Crew_10014,Flt_15268,0
Crew_10014,Flt_15561,0
Crew_10014,Flt_15677,0
Crew_10014,Flt_15885,0
Crew_10014,Flt_17527,0
Crew_10014,Flt_17675,0
Crew_10014,Flt_17785,0
Crew_10015,Flt_13753,0
Crew_10015,Flt_13898,0
Crew_10015,Flt_14017,0
Crew_10015,ddh_13027,1
Crew_10015,Flt_14619,0
Crew_10015,Flt_14714,0
Crew_10015,Flt_14785,0
Crew_10015,Flt_15907,0
Crew_10015,Flt_15977,0
Crew_10015,Flt_16069,0
Crew_10015,Flt_17324,0
Crew_10015,Flt_17502,0
Crew_10016,Flt_13755,0
Crew_10016,Flt_13941,0
Crew_10016,Flt_14756,0
Crew_10016,Flt_15089,0
Crew_10016,Flt_15183,0
Crew_10016,Flt_15358,0
Crew_10016,Flt_16829,0
Crew_10016,Flt_17028,0
Crew_10016,Flt_17743,0
Crew_10017,ddh_10576,1
Crew_10017,Flt_13812,0
Crew_10017,Flt_13949,0
Crew_10017,Flt_14082,0
Crew_10017,Flt_14523,0
Crew_10017,ddh_11385,1
Crew_10017,Flt_15430,0
Crew_10017,Flt_15915,0
Crew_10017,Flt_17741,0
Crew_10019,ddh_13132,1
Crew_10019,Flt_14056,0
Crew_10019,Flt_14201,0
Crew_10019,Flt_14568,0
Crew_10019,Flt_14787,0
Crew_10019,Flt_15076,0
Crew_10019,Flt_15251,0
Crew_10019,ddh_11433,1
Crew_10019,Flt_15873,0
Crew_10019,Flt_17779,0
Crew_10023,ddh_10260,1
Crew_10023,Flt_14008,0
Crew_10023,Flt_14171,0
Crew_10023,Flt_14456,0
Crew_10023,Flt_15287,0
Crew_10023,Flt_15423,0
Crew_10023,Flt_16743,0
Crew_10023,Flt_16875,0
Crew_10023,Flt_17018,0
Crew_10023,ddh_12798,1
Crew_10023,Flt_17678,0
Crew_10023,ddh_11988,1
Crew_10026,ddh_10457,1
Crew_10026,Flt_14101,0
Crew_10026,Flt_14234,0
Crew_10026,Flt_14807,0
Crew_10026,Flt_15213,0
Crew_10026,Flt_15349,0
Crew_10026,Flt_15627,0
Crew_10026,Flt_15755,0
Crew_10026,Flt_15918,0
Crew_10026,Flt_17775,0
Crew_10028,ddh_10033,1
Crew_10028,Flt_13850,0
Crew_10028,Flt_14009,0
Crew_10028,Flt_14345,0
Crew_10028,Flt_14596,0
Crew_10028,Flt_14655,0
Crew_10028,Flt_17728,0
Crew_10028,Flt_17822,0
Crew_10030,ddh_10330,1
Crew_10030,Flt_13791,0
Crew_10030,Flt_13942,0
Crew_10030,Flt_14801,0
Crew_10030,Flt_15106,0
Crew_10030,Flt_15240,0
Crew_10030,Flt_15389,0
Crew_10030,Flt_17042,0
Crew_10030,Flt_17223,0
Crew_10030,Flt_17483,0
Crew_10030,Flt_17700,0
Crew_10031,ddh_10216,1
Crew_10031,Flt_14144,0
Crew_10031,Flt_14265,0
Crew_10031,Flt_14560,0
Crew_10031,Flt_14701,0
Crew_10031,Flt_14875,0
Crew_10031,Flt_15542,0
Crew_10031,Flt_15739,0
Crew_10031,Flt_15854,0
Crew_10031,Flt_17509,0
Crew_10031,Flt_17621,0
Crew_10031,Flt_17720,0
Crew_10034,ddh_10535,1
Crew_10034,Flt_13826,0
Crew_10034,Flt_13943,0
Crew_10034,Flt_14136,0
Crew_10034,Flt_14817,0
Crew_10034,Flt_15316,0
Crew_10034,Flt_15416,0
Crew_10034,Flt_15914,0
Crew_10034,Flt_16012,0
Crew_10034,Flt_17677,0
Crew_10034,Flt_17770,0
Crew_10035,ddh_10018,1
Crew_10035,Flt_14156,0
Crew_10035,Flt_14429,0
Crew_10035,Flt_14562,0
Crew_10035,Flt_14726,0
Crew_10035,Flt_15159,0
Crew_10035,Flt_15326,0
Crew_10035,Flt_16037,0
Crew_10035,Flt_17387,0
Crew_10035,Flt_17464,0
Crew_10035,Flt_17663,0
Crew_10040,ddh_10360,1
Crew_10040,Flt_13852,0
Crew_10040,Flt_13978,0
Crew_10040,Flt_14375,0
Crew_10040,Flt_14567,0
Crew_10040,Flt_15354,0
Crew_10040,Flt_15794,0
Crew_10040,Flt_17723,0
Crew_10044,ddh_10398,1
Crew_10044,Flt_13747,0
Crew_10044,Flt_13870,0
Crew_10044,Flt_14083,0
Crew_10044,Flt_14548,0
Crew_10044,Flt_14691,0
Crew_10044,Flt_15162,0
Crew_10044,Flt_15315,0
Crew_10044,Flt_15778,0
Crew_10044,Flt_15912,0
Crew_10044,Flt_16028,0
Crew_10044,Flt_17332,0
Crew_10044,Flt_17461,0
Crew_10044,Flt_17645,0
Crew_10045,Flt_13780,0
Crew_10045,Flt_13867,0
Crew_10045,Flt_14062,1
Crew_10045,Flt_14268,0
Crew_10045,ddh_11704,1
Crew_10045,Flt_14903,0
Crew_10045,Flt_15335,0
Crew_10045,Flt_15442,0
Crew_10045,Flt_15734,0
Crew_10045,Flt_15909,0
Crew_10045,ddh_11622,1
Crew_10045,ddh_13185,1
Crew_10046,ddh_10465,1
Crew_10046,Flt_13740,0
Crew_10046,Flt_13869,0
Crew_10046,Flt_14326,0
Crew_10046,Flt_14921,0
Crew_10046,Flt_15049,0
Crew_10046,Flt_15153,0
Crew_10046,Flt_15266,0
Crew_10046,Flt_15534,0
Crew_10046,Flt_15647,0
Crew_10046,Flt_15816,0
Crew_10046,Flt_17356,0
Crew_10046,Flt_17513,0
Crew_10046,Flt_17636,0
Crew_10046,ddh_12645,1
Crew_10047,ddh_10358,1
Crew_10047,Flt_13947,0
Crew_10047,Flt_14246,0
Crew_10047,Flt_14521,0
Crew_10047,Flt_14752,0
Crew_10047,Flt_14863,0
Crew_10047,Flt_15207,0
Crew_10047,Flt_15484,0
Crew_10047,Flt_15935,0
Crew_10048,ddh_10493,1
Crew_10048,Flt_13880,0
Crew_10048,Flt_14022,0
Crew_10048,Flt_14104,0
Crew_10048,Flt_14191,0
Crew_10051,ddh_10406,1
Crew_10051,Flt_13846,0
Crew_10051,Flt_14178,0
Crew_10051,Flt_14578,0
Crew_10051,Flt_14769,0
Crew_10051,Flt_14871,0
Crew_10051,Flt_15167,0
Crew_10051,Flt_15541,0
Crew_10051,Flt_15708,0
Crew_10051,Flt_15836,0
Crew_10051,Flt_17694,0
Crew_10052,ddh_11971,1
Crew_10052,Flt_14063,0
Crew_10052,Flt_14424,0
Crew_10052,Flt_15435,0
Crew_10052,Flt_16744,0
Crew_10052,Flt_16899,0
Crew_10052,Flt_17343,0
Crew_10052,Flt_17448,0
Crew_10052,Flt_17632,0
Crew_10052,ddh_12933,1
Crew_10054,ddh_10384,1
Crew_10054,Flt_14001,0
Crew_10054,Flt_14131,0
Crew_10054,Flt_14274,0
Crew_10054,Flt_14663,0
Crew_10054,Flt_14794,0
Crew_10054,ddh_11379,1
Crew_10054,Flt_15408,0
Crew_10054,Flt_15672,0
Crew_10054,Flt_15939,0
Crew_10055,ddh_10078,1
Crew_10055,Flt_13916,0
Crew_10055,Flt_14172,0
Crew_10055,Flt_14263,0
Crew_10055,Flt_14610,0
Crew_10055,Flt_14784,0
Crew_10055,Flt_14893,0
Crew_10055,Flt_15177,0
Crew_10055,Flt_15306,0
Crew_10055,Flt_15455,0
Crew_10055,Flt_16861,0
Crew_10055,Flt_16989,0
Crew_10055,Flt_17082,0
Crew_10055,ddh_13293,1
Crew_10055,Flt_17427,0
Crew_10055,Flt_17545,0
Crew_10056,ddh_10391,1
Crew_10056,Flt_13762,0
Crew_10056,Flt_13908,0
Crew_10056,Flt_14084,0
Crew_10056,Flt_14333,0
Crew_10056,Flt_14464,0
Crew_10056,Flt_14609,0
Crew_10056,Flt_14920,0
Crew_10056,Flt_15147,0
Crew_10056,Flt_15572,0
Crew_10056,Flt_15786,0
Crew_10056,Flt_15880,0
Crew_10056,Flt_17342,0
Crew_10056,Flt_17481,0
Crew_10058,ddh_13368,1
Crew_10058,Flt_13827,0
Crew_10058,Flt_13918,0
Crew_10058,Flt_14392,0
Crew_10058,Flt_14503,0
Crew_10058,Flt_14972,0
Crew_10058,Flt_15494,0
Crew_10058,Flt_15539,0
Crew_10058,Flt_17727,0
Crew_10059,ddh_10241,1
Crew_10059,Flt_13779,0
Crew_10059,Flt_13877,0
Crew_10059,Flt_14076,0
Crew_10059,Flt_14479,0
Crew_10059,Flt_14573,0
Crew_10059,Flt_14681,0
Crew_10059,Flt_14778,0
Crew_10059,Flt_15204,0
Crew_10059,Flt_15363,0
Crew_10059,Flt_15473,0
Crew_10059,Flt_15718,0
Crew_10059,Flt_16054,0
Crew_10059,Flt_17353,0
Crew_10059,Flt_17484,0
Crew_10059,Flt_17651,0
Crew_10063,ddh_10087,1
Crew_10063,Flt_13940,0
Crew_10063,Flt_14094,0
Crew_10063,Flt_14531,0
Crew_10063,Flt_14683,0
Crew_10063,Flt_15125,0
Crew_10063,Flt_15279,0
Crew_10063,Flt_15724,0
Crew_10063,Flt_15876,0
Crew_10063,Flt_17496,0
Crew_10063,Flt_17641,0
Crew_10064,ddh_10579,1
Crew_10064,Flt_13883,0
Crew_10064,Flt_14018,0
Crew_10064,Flt_14206,0
Crew_10064,Flt_14638,0
