id,crewId,airport,startTime,endTime,isDuty
Grd_1757_10000,Crew_10003,UQLN,2025/02/02 00:00:00,2025/02/02 23:59:00,0
Grd_1757_10001,Crew_10003,UQLN,2025/02/03 00:00:00,2025/02/03 23:59:00,0
Grd_1757_10002,Crew_10003,UQLN,2025/02/04 00:00:00,2025/02/04 23:59:00,0
Grd_1757_10003,Crew_10003,UQLN,2025/02/05 08:00:00,2025/02/05 18:00:00,1
Grd_1757_10004,Crew_10003,UQLN,2025/02/06 00:00:00,2025/02/06 23:59:00,0
Grd_1757_10005,Crew_10003,UQLN,2025/02/07 00:00:00,2025/02/07 23:59:00,0
Grd_1757_10006,Crew_10003,UQLN,2025/02/08 08:00:00,2025/02/08 18:00:00,1
Grd_1_10000,Crew_10004,UQLN,2025/02/02 00:00:00,2025/02/02 23:59:00,0
Grd_1_10001,Crew_10004,UQLN,2025/02/03 00:00:00,2025/02/03 23:59:00,0
Grd_1_10002,Crew_10004,UQLN,2025/02/04 00:00:00,2025/02/04 23:59:00,0
Grd_1_10003,Crew_10004,UQLN,2025/02/05 00:00:00,2025/02/05 23:59:00,0
Grd_1_10004,Crew_10004,UQLN,2025/02/06 08:00:00,2025/02/06 18:00:00,1
Grd_1_10005,Crew_10004,UQLN,2025/02/07 00:00:00,2025/02/07 23:59:00,0
Grd_1_10006,Crew_10004,UQLN,2025/02/08 00:00:00,2025/02/08 23:59:00,0
Grd_2493_10000,Crew_10006,UQLN,2025/02/05 08:00:00,2025/02/05 18:00:00,1
Grd_1764_10000,Crew_10008,UQLN,2025/02/02 08:00:00,2025/02/02 18:00:00,1
Grd_1652_10000,Crew_10009,XGOB,2025/02/02 08:00:00,2025/02/02 18:00:00,1
Grd_1652_10001,Crew_10009,XGOB,2025/02/03 08:00:00,2025/02/03 18:00:00,1
Grd_1652_10002,Crew_10009,XGOB,2025/02/04 08:00:00,2025/02/04 18:00:00,1
Grd_1652_10003,Crew_10009,XGOB,2025/02/05 08:00:00,2025/02/05 18:00:00,1
Grd_1652_10004,Crew_10009,XGOB,2025/02/06 08:00:00,2025/02/06 18:00:00,1
Grd_1652_10005,Crew_10009,XGOB,2025/02/07 08:00:00,2025/02/07 18:00:00,1
Grd_1652_10006,Crew_10009,XGOB,2025/02/08 08:00:00,2025/02/08 18:00:00,1
Grd_3_10000,Crew_10010,XGOB,2025/02/02 00:00:00,2025/02/02 23:59:00,0
Grd_3_10001,Crew_10010,XGOB,2025/02/03 08:00:00,2025/02/03 18:00:00,1
Grd_3_10002,Crew_10010,XGOB,2025/02/04 08:00:00,2025/02/04 18:00:00,1
Grd_3_10003,Crew_10010,XGOB,2025/02/05 08:00:00,2025/02/05 18:00:00,1
Grd_3_10004,Crew_10010,XGOB,2025/02/06 00:00:00,2025/02/06 23:59:00,0
Grd_3_10005,Crew_10010,XGOB,2025/02/07 00:00:00,2025/02/07 23:59:00,0
Grd_3_10006,Crew_10010,XGOB,2025/02/08 00:00:00,2025/02/08 23:59:00,0
Grd_2048_10000,Crew_10016,VBKF,2025/02/08 08:00:00,2025/02/08 18:00:00,1
Grd_1726_10000,Crew_10026,UQLN,2025/02/04 00:00:00,2025/02/04 23:59:00,0
Grd_1726_10001,Crew_10026,UQLN,2025/02/05 00:00:00,2025/02/05 23:59:00,0
Grd_1726_10002,Crew_10026,UQLN,2025/02/06 00:00:00,2025/02/06 23:59:00,0
Grd_1726_10003,Crew_10026,UQLN,2025/02/07 00:00:00,2025/02/07 23:59:00,0
Grd_1726_10004,Crew_10026,UQLN,2025/02/08 00:00:00,2025/02/08 23:59:00,0
Grd_1768_10000,Crew_10028,XGOB,2025/02/06 00:00:00,2025/02/06 23:59:00,0
Grd_1768_10001,Crew_10028,XGOB,2025/02/07 00:00:00,2025/02/07 23:59:00,0
Grd_1768_10002,Crew_10028,XGOB,2025/02/08 00:00:00,2025/02/08 23:59:00,0
Grd_1609_10000,Crew_10030,XGOB,2025/02/08 08:00:00,2025/02/08 18:00:00,1
Grd_2042_10000,Crew_10034,UQLN,2025/02/06 08:00:00,2025/02/06 18:00:00,1
Grd_2042_10001,Crew_10034,UQLN,2025/02/07 08:00:00,2025/02/07 18:00:00,1
Grd_1705_10000,Crew_10044,XGOB,2025/02/02 00:00:00,2025/02/02 23:59:00,0
Grd_1705_10001,Crew_10044,XGOB,2025/02/03 00:00:00,2025/02/03 23:59:00,0
Grd_1705_10002,Crew_10044,XGOB,2025/02/04 00:00:00,2025/02/04 23:59:00,0
Grd_1705_10003,Crew_10044,XGOB,2025/02/05 00:00:00,2025/02/05 23:59:00,0
Grd_1705_10004,Crew_10044,XGOB,2025/02/06 00:00:00,2025/02/06 23:59:00,0
Grd_1705_10005,Crew_10044,XGOB,2025/02/07 00:00:00,2025/02/07 23:59:00,0
Grd_1705_10006,Crew_10044,XGOB,2025/02/08 08:00:00,2025/02/08 18:00:00,1
Grd_1155_10000,Crew_10046,XGOB,2025/02/02 00:00:00,2025/02/02 23:59:00,0
Grd_1155_10001,Crew_10046,XGOB,2025/02/03 00:00:00,2025/02/03 23:59:00,0
Grd_1155_10002,Crew_10046,XGOB,2025/02/04 00:00:00,2025/02/04 23:59:00,0
Grd_2129_10000,Crew_10047,UQLN,2025/02/02 00:00:00,2025/02/02 23:59:00,0
