id,depaAirport,arriAirport,td,ta
ddh_10001,MEEP,PNOJ,2024/12/30 16:45,2024/12/30 18:55
ddh_10002,PNOJ,MEEP,2024/12/30 19:45,2024/12/30 21:45
ddh_10003,MEEP,ZBRM,2024/12/30 8:50,2024/12/30 11:10
ddh_10004,ZBRM,MEEP,2024/12/30 13:10,2024/12/30 15:30
ddh_10005,MEEP,VEYC,2024/12/30 10:25,2024/12/30 12:50
ddh_10006,VEYC,MEEP,2024/12/30 7:00,2024/12/30 9:15
ddh_10007,YELV,MEEP,2024/12/30 17:50,2024/12/30 20:30
ddh_10008,UNUN,ZFTY,2024/12/30 15:10,2024/12/30 19:15
ddh_10009,ZFTY,UNUN,2024/12/30 20:30,2024/12/31 0:50
ddh_10010,MEEP,YELV,2024/12/30 21:55,2024/12/31 0:10
ddh_10011,YELV,CGHU,2024/12/30 15:40,2024/12/30 19:15
ddh_10012,ZFTY,TIDB,2024/12/30 7:40,2024/12/30 9:50
ddh_10013,CGHU,YELV,2024/12/30 20:15,2024/12/30 23:30
ddh_10014,TIDB,IGVH,2024/12/30 10:40,2024/12/30 13:10
ddh_10015,IGVH,TIDB,2024/12/30 14:20,2024/12/30 16:40
ddh_10016,ZFTY,ZOEV,2024/12/30 21:55,2024/12/31 1:55
ddh_10017,TIDB,ZFTY,2024/12/30 17:25,2024/12/30 19:30
ddh_10018,ZOEV,ZFTY,2024/12/30 16:40,2024/12/30 20:40
ddh_10019,YELV,MEEP,2024/12/30 7:50,2024/12/30 10:15
ddh_10020,MEEP,YELV,2024/12/30 11:35,2024/12/30 13:35
ddh_10021,YELV,XCDO,2024/12/30 14:45,2024/12/30 17:45
ddh_10022,XCDO,YELV,2024/12/30 18:35,2024/12/30 21:35
ddh_10023,YELV,YKHO,2024/12/30 7:50,2024/12/30 11:10
ddh_10024,YKHO,YELV,2024/12/30 12:10,2024/12/30 14:30
ddh_10025,YELV,XALQ,2024/12/30 8:35,2024/12/30 11:25
ddh_10026,YELV,CGHU,2024/12/30 19:45,2024/12/30 23:00
ddh_10027,YELV,ZBRM,2024/12/30 8:00,2024/12/30 11:10
ddh_10028,XALQ,CFEV,2024/12/30 12:40,2024/12/30 15:35
ddh_10029,CGHU,YELV,2024/12/30 21:15,2024/12/31 0:40
ddh_10030,ZBRM,JXKD,2024/12/30 12:00,2024/12/30 13:40
ddh_10031,CFEV,XALQ,2024/12/30 16:40,2024/12/30 19:10
ddh_10032,JXKD,ZBRM,2024/12/30 14:30,2024/12/30 16:10
ddh_10033,ZBRM,YELV,2024/12/30 17:05,2024/12/30 19:40
ddh_10034,XALQ,YELV,2024/12/30 20:30,2024/12/30 22:30
ddh_10035,DJQK,ZOEV,2024/12/30 11:40,2024/12/30 14:45
ddh_10036,UTFU,IRVV,2024/12/30 14:45,2024/12/30 16:40
ddh_10037,IRVV,UTFU,2024/12/30 17:50,2024/12/30 20:05
ddh_10038,UTFU,ZOEV,2024/12/30 21:00,2024/12/31 0:35
ddh_10039,YELV,LRNO,2024/12/30 6:25,2024/12/30 9:30
ddh_10040,ZOEV,PNOJ,2024/12/30 7:25,2024/12/30 9:50
ddh_10041,PNOJ,QFKO,2024/12/30 10:35,2024/12/30 12:25
ddh_10042,ZOEV,DIZB,2024/12/30 7:05,2024/12/30 10:30
