id,depaAirport,arriAirport,std,sta,fleet,aircraftNo,flyTime
Flt_13727,QPCR,LRNO,2025/1/1 17:55,2025/1/1 20:40,321,AFT_10001,150
Flt_13728,LRNO,QPCR,2025/1/1 13:00,2025/1/1 16:25,321,AFT_10001,196
Flt_13729,XALQ,YEQV,2025/1/1 6:20,2025/1/1 8:20,320,AFT_10002,108
Flt_13730,JTZV,PERX,2025/1/1 6:25,2025/1/1 9:05,321,AFT_10003,139
Flt_13731,YELV,LRNO,2025/1/1 6:25,2025/1/1 9:20,320,AFT_10004,169
Flt_13732,JTZV,GSWW,2025/1/1 6:25,2025/1/1 7:50,321,AFT_10005,74
Flt_13733,YELV,WJBU,2025/1/1 6:25,2025/1/1 9:15,320,AFT_10006,157
Flt_13734,MEEP,JTZV,2025/1/1 6:25,2025/1/1 8:50,321,AFT_10007,133
Flt_13735,ZOEV,ZBRM,2025/1/1 6:25,2025/1/1 8:50,320,AFT_10008,134
Flt_13736,IGVH,WDWO,2025/1/1 6:30,2025/1/1 8:45,320,AFT_10009,114
Flt_13737,IGVH,XALQ,2025/1/1 6:35,2025/1/1 8:20,320,AFT_10010,72
Flt_13738,XALQ,PERX,2025/1/1 6:40,2025/1/1 9:20,320,AFT_10011,134
Flt_13739,JTZV,BKVZ,2025/1/1 6:40,2025/1/1 8:20,320,AFT_10012,90
Flt_13740,ZOEV,TLRK,2025/1/1 6:45,2025/1/1 8:50,321,AFT_10013,117
Flt_13741,ZFTY,SZVM,2025/1/1 6:50,2025/1/1 9:30,320,AFT_10014,155
Flt_13742,XALQ,MEEP,2025/1/1 6:50,2025/1/1 9:05,321,AFT_10015,122
Flt_13743,XALQ,IQOA,2025/1/1 6:50,2025/1/1 9:05,321,AFT_10016,110
Flt_13744,JTZV,XCDO,2025/1/1 6:50,2025/1/1 10:30,321,AFT_10017,205
Flt_13745,XALQ,ZFTY,2025/1/1 6:55,2025/1/1 9:10,320,AFT_10018,125
Flt_13746,XALQ,LRNO,2025/1/1 6:55,2025/1/1 8:45,321,AFT_10019,95
Flt_13747,IGVH,KXUZ,2025/1/1 6:55,2025/1/1 8:45,320,AFT_10020,119
Flt_13748,JTZV,ZKXC,2025/1/1 6:55,2025/1/1 9:10,321,AFT_10021,134
Flt_13749,WDWO,DIZB,2025/1/1 6:55,2025/1/1 8:45,320,AFT_10022,94
Flt_13750,CGHU,LCYY,2025/1/1 6:55,2025/1/1 9:50,321,AFT_10023,183
Flt_13751,KXUZ,JTZV,2025/1/1 6:55,2025/1/1 9:30,320,AFT_10024,142
Flt_13752,ZFTY,JTZV,2025/1/1 6:55,2025/1/1 10:00,321,AFT_10025,172
Flt_13753,VEYC,MEEP,2025/1/1 7:00,2025/1/1 9:15,320,AFT_10026,126
Flt_13754,PERX,WGZL,2025/1/1 7:00,2025/1/1 10:40,321,AFT_10027,227
Flt_13755,DIZB,JXKD,2025/1/1 7:00,2025/1/1 11:00,320,AFT_10028,227
Flt_13756,JTZV,YELV,2025/1/1 7:00,2025/1/1 9:35,321,AFT_10029,136
Flt_13757,CGHU,DIZB,2025/1/1 7:00,2025/1/1 9:35,320,AFT_10030,144
Flt_13758,CGHU,TJFR,2025/1/1 7:00,2025/1/1 9:45,320,AFT_10031,158
Flt_13759,JTZV,CGHU,2025/1/1 7:00,2025/1/1 10:45,321,AFT_10032,211
Flt_13760,JTZV,KXUZ,2025/1/1 7:05,2025/1/1 9:35,320,AFT_10033,139
Flt_13761,XALQ,QFKO,2025/1/1 7:05,2025/1/1 9:05,320,AFT_10034,99
Flt_13762,IGVH,ZMZW,2025/1/1 7:05,2025/1/1 9:35,321,AFT_10035,147
Flt_13763,ZOEV,DIZB,2025/1/1 7:05,2025/1/1 10:30,321,AFT_10036,193
Flt_13764,XALQ,KXUZ,2025/1/1 7:10,2025/1/1 9:15,320,AFT_10037,112
Flt_13765,CGHU,LBMY,2025/1/1 7:10,2025/1/1 10:50,321,AFT_10038,199
Flt_13766,CGHU,ZOEV,2025/1/1 7:10,2025/1/1 12:45,320,AFT_10039,340
Flt_13767,CGHU,WDWO,2025/1/1 7:10,2025/1/1 11:05,320,AFT_10040,242
Flt_13768,JTZV,IGVH,2025/1/1 7:10,2025/1/1 8:55,320,AFT_10041,82
Flt_13769,XALQ,YELV,2025/1/1 7:10,2025/1/1 9:15,320,AFT_10042,113
Flt_13770,MEEP,XALQ,2025/1/1 7:10,2025/1/1 9:10,321,AFT_10043,120
Flt_13771,UNUN,PNOJ,2025/1/1 7:10,2025/1/1 10:35,320,AFT_10044,206
