crewId,base,stayStation
Crew_10002,ZOEV,ZOEV
Crew_10003,XALQ,XALQ
Crew_10004,XALQ,XALQ
Crew_10005,XALQ,XALQ
Crew_10006,XALQ,XALQ
Crew_10007,XALQ,XALQ
Crew_10008,JTZV,JTZV
Crew_10009,JTZV,JTZV
Crew_10010,XALQ,XALQ
Crew_10011,JTZV,JTZV
Crew_10012,JTZV,JTZV
Crew_10013,JTZV,JTZV
Crew_10014,WDWO,WDWO
Crew_10015,JTZV,VEYC
Crew_10016,IGVH,DIZB
Crew_10017,XALQ,CGHU
Crew_10019,JTZV,JTZV
Crew_10020,IGVH,IGVH
Crew_10021,JTZV,JTZV
Crew_10022,JTZV,ZFTY
Crew_10023,XALQ,KXUZ
Crew_10024,JTZV,JTZV
Crew_10025,JTZV,JTZV
Crew_10026,JTZV,JTZV
Crew_10027,JTZV,JTZV
Crew_10028,JTZV,ZBRM
Crew_10029,XALQ,MEEP
Crew_10030,XALQ,XALQ
Crew_10031,XALQ,JXKD
Crew_10032,XALQ,XALQ
Crew_10034,ZFTY,DIZB
Crew_10035,XALQ,ZOEV
Crew_10036,JTZV,JTZV
Crew_10037,JTZV,JTZV
Crew_10038,XALQ,LRNO
Crew_10039,JTZV,YELV
Crew_10040,IGVH,IGVH
Crew_10041,JTZV,JTZV
Crew_10042,XALQ,KXUZ
Crew_10043,XALQ,UNUN
Crew_10044,JTZV,JTZV
Crew_10045,JTZV,JTZV
Crew_10046,JTZV,JTZV
Crew_10047,XALQ,XALQ
Crew_10048,IGVH,IGVH
Crew_10049,JTZV,JTZV
Crew_10050,XALQ,UNUN
Crew_10051,JTZV,JTZV
Crew_10052,XALQ,ZFTY
Crew_10053,XALQ,LRNO
Crew_10054,IGVH,IGVH
Crew_10055,IGVH,CGHU
Crew_10056,XALQ,XALQ
Crew_10058,JTZV,YELV
Crew_10059,XALQ,DQBQ
Crew_10060,XALQ,XALQ
Crew_10063,IGVH,CGHU
Crew_10064,XALQ,WGZL
Crew_10065,WDWO,WDWO
Crew_10066,JTZV,JTZV
Crew_10067,WDWO,WDWO
Crew_10068,XALQ,XALQ
Crew_10069,XALQ,XALQ
Crew_10070,JTZV,JTZV
Crew_10071,JTZV,JTZV
Crew_10072,IGVH,IGVH
Crew_10073,IGVH,IGVH
Crew_10074,XALQ,JTZV
Crew_10075,XALQ,XALQ
Crew_10078,JTZV,JTZV
Crew_10079,JTZV,JTZV
Crew_10080,JTZV,JTZV
Crew_10081,JTZV,JTZV
Crew_10082,IGVH,IGVH
Crew_10083,JTZV,JTZV
Crew_10084,WDWO,WDWO
Crew_10085,ZFTY,PERX
Crew_10086,XALQ,XALQ
Crew_10087,JTZV,JTZV
Crew_10088,XALQ,XALQ
Crew_10089,UNUN,UNUN
Crew_10090,IGVH,IGVH
Crew_10091,XALQ,XALQ
Crew_10092,XALQ,XALQ
Crew_10093,XALQ,CGHU
Crew_10094,JTZV,JTZV
Crew_10095,XALQ,YELV
Crew_10096,JTZV,JTZV
Crew_10097,XALQ,PNOJ
Crew_10098,XALQ,XALQ
Crew_10099,XALQ,XALQ
Crew_10100,JTZV,JTZV
Crew_10102,JTZV,JTZV
Crew_10103,XALQ,XALQ
Crew_10104,JTZV,ZOEV
Crew_10105,IGVH,IGVH
Crew_10106,JTZV,JTZV
Crew_10107,WDWO,WDWO
Crew_10108,WDWO,WDWO
Crew_10109,JTZV,JTZV
Crew_10110,XALQ,XALQ
Crew_10113,XALQ,XALQ
Crew_10114,IGVH,IGVH
Crew_10115,IGVH,IGVH
Crew_10116,IGVH,CGHU
Crew_10117,YELV,YELV
Crew_10118,JTZV,JTZV
Crew_10119,JTZV,JTZV
Crew_10120,JTZV,JTZV
Crew_10121,JTZV,LCYY
Crew_10122,JTZV,JTZV
Crew_10123,JTZV,ZFTY
Crew_10125,XALQ,XALQ
Crew_10126,XALQ,XALQ
Crew_10128,JTZV,JTZV
Crew_10129,JTZV,JTZV
Crew_10130,XALQ,XALQ
Crew_10131,JTZV,JTZV
Crew_10132,XALQ,JTZV
Crew_10133,JTZV,JTZV
Crew_10134,JTZV,JTZV
Crew_10135,XALQ,KXUZ
Crew_10136,IGVH,IGVH
Crew_10137,JTZV,JTZV
Crew_10138,XALQ,XALQ
Crew_10139,JTZV,ZFTY
Crew_10140,JTZV,WGZL
Crew_10141,YELV,YELV
Crew_10142,XALQ,XALQ
Crew_10143,WDWO,WDWO
Crew_10144,XALQ,XALQ
Crew_10145,XALQ,XALQ
Crew_10146,YELV,JTZV
Crew_10147,WDWO,WDWO
Crew_10149,JTZV,JTZV
Crew_10150,UNUN,UNUN
Crew_10151,XALQ,XALQ
Crew_10152,XALQ,LRNO
Crew_10153,JTZV,JTZV
Crew_10154,JTZV,JTZV
Crew_10156,JTZV,CTIG
Crew_10157,IGVH,IGVH
Crew_10158,XALQ,XALQ
Crew_10159,JTZV,JTZV
Crew_10160,XALQ,CGHU
Crew_10161,JTZV,LRNO
Crew_10162,JTZV,IRVV
Crew_10163,IGVH,JTZV
Crew_10165,IGVH,IGVH
Crew_10166,XALQ,XALQ
Crew_10168,JTZV,JTZV
Crew_10169,XALQ,DIZB
Crew_10170,JTZV,JTZV
Crew_10171,JTZV,JTZV
Crew_10173,WDWO,WDWO
Crew_10174,JTZV,JTZV
Crew_10175,IGVH,CGHU
Crew_10176,IGVH,JTZV
Crew_10177,IGVH,IGVH
Crew_10178,XALQ,UNUN
Crew_10179,XALQ,UNUN
Crew_10180,IGVH,IGVH
Crew_10181,JTZV,JTZV
Crew_10183,JTZV,ZOEV
Crew_10185,XALQ,XALQ
Crew_10186,JTZV,JTZV
Crew_10187,JTZV,JTZV
Crew_10188,JTZV,ZFTY
Crew_10189,XALQ,XALQ
Crew_10190,XALQ,XALQ
Crew_10191,JTZV,KXUZ
Crew_10193,JTZV,JTZV
Crew_10194,JTZV,JTZV
Crew_10196,JTZV,JTZV
Crew_10197,JTZV,WDWO
Crew_10198,JTZV,JTZV
Crew_10199,JTZV,JTZV
Crew_10200,JTZV,JTZV
Crew_10202,JTZV,JTZV
Crew_10203,JTZV,JTZV
Crew_10204,JTZV,ZOEV
Crew_10205,IGVH,CGHU
Crew_10206,JTZV,JTZV
Crew_10207,JTZV,JTZV
Crew_10208,JTZV,ZFTY
Crew_10211,JTZV,JTZV
Crew_10212,JTZV,JTZV
Crew_10214,JTZV,YELV
Crew_10215,XALQ,UNUN
Crew_10216,JTZV,JTZV
Crew_10217,JTZV,JTZV
Crew_10219,XALQ,XALQ
Crew_10220,JTZV,JTZV
Crew_10221,JTZV,JTZV
Crew_10223,JTZV,JTZV
Crew_10224,ZFTY,ZFTY
Crew_10225,JTZV,JTZV
Crew_10226,JTZV,ZFTY
Crew_10227,JTZV,JTZV
Crew_10228,JTZV,JTZV
Crew_10229,JTZV,JTZV
Crew_10230,IGVH,IGVH
Crew_10231,XALQ,XALQ
Crew_10232,JTZV,JTZV
Crew_10234,JTZV,JTZV
Crew_10235,JTZV,JTZV
Crew_10236,JTZV,JTZV
Crew_10237,XALQ,XALQ
Crew_10238,JTZV,JTZV
Crew_10239,JTZV,JTZV
Crew_10240,JTZV,JTZV
Crew_10241,IGVH,CGHU
Crew_10242,JTZV,JTZV
Crew_10243,JTZV,JTZV
Crew_10244,JTZV,JTZV
Crew_10245,JTZV,JTZV
Crew_10246,CGHU,CGHU
Crew_10247,JTZV,JTZV
Crew_10248,JTZV,JTZV
Crew_10249,JTZV,JTZV
Crew_10250,JTZV,JTZV
Crew_10251,XALQ,XALQ
Crew_10253,JTZV,JTZV
Crew_10255,JTZV,JTZV
Crew_10256,JTZV,JTZV
Crew_10257,JTZV,JTZV
Crew_10259,JTZV,ZOEV
Crew_10260,JTZV,JTZV
Crew_10261,JTZV,JTZV
Crew_10262,JTZV,JTZV
Crew_10264,JTZV,JTZV
Crew_10265,JTZV,JTZV
Crew_10266,JTZV,JTZV
Crew_10267,JTZV,JTZV
Crew_10268,JTZV,JTZV
Crew_10269,JTZV,JTZV
Crew_10270,JTZV,JTZV
Crew_10271,JTZV,JTZV
Crew_10272,JTZV,JTZV
Crew_10273,JTZV,JTZV
Crew_10274,JTZV,JTZV
Crew_10275,XALQ,XALQ
Crew_10276,JTZV,JTZV
Crew_10277,JTZV,JTZV
Crew_10278,XALQ,XALQ
Crew_10279,JTZV,JTZV
Crew_10280,JTZV,JTZV
Crew_10281,JTZV,JTZV
Crew_10282,XALQ,XALQ
Crew_10283,JTZV,JTZV
Crew_10284,XALQ,XALQ
Crew_10286,ZFTY,DIZB
Crew_10287,XALQ,XALQ
Crew_10288,IGVH,IGVH
Crew_10289,YELV,YELV
Crew_10291,YELV,YELV
Crew_10292,JTZV,CGHU
Crew_10293,XALQ,XALQ
Crew_10294,JTZV,JTZV
Crew_10295,ZFTY,ZOEV
Crew_10297,JTZV,JTZV
Crew_10298,JTZV,JTZV
Crew_10300,WDWO,WDWO
Crew_10301,JTZV,JTZV
Crew_10302,JTZV,WDWO
Crew_10303,JTZV,QQGB
Crew_10304,XALQ,XALQ
Crew_10305,JTZV,YELV
Crew_10306,JTZV,JTZV
Crew_10307,XALQ,XALQ
Crew_10308,CGHU,ZOEV
Crew_10309,JTZV,JTZV
Crew_10310,JTZV,YELV
Crew_10311,XALQ,XALQ
Crew_10313,XALQ,YELV
Crew_10314,JTZV,JTZV
Crew_10315,JTZV,JTZV
Crew_10316,JTZV,JTZV
Crew_10318,JTZV,JTZV
Crew_10319,JTZV,JTZV
Crew_10320,IGVH,JTZV
Crew_10323,JTZV,JTZV
Crew_10324,JTZV,JTZV
Crew_10325,XALQ,LRNO
Crew_10326,JTZV,MOXE
Crew_10327,JTZV,MEEP
Crew_10328,WDWO,WDWO
Crew_10329,XALQ,CGHU
Crew_10330,JTZV,JTZV
Crew_10331,JTZV,VEYC
Crew_10334,JTZV,ZBRM
Crew_10335,XALQ,XALQ
Crew_10336,JTZV,ZOEV
Crew_10337,JTZV,JTZV
Crew_10338,JTZV,JTZV
Crew_10339,JTZV,JTZV
Crew_10340,XALQ,XALQ
Crew_10341,JTZV,JTZV
Crew_10342,IGVH,IGVH
Crew_10343,JTZV,JTZV
Crew_10344,JTZV,JTZV
Crew_10345,XALQ,XALQ
Crew_10346,XALQ,UNUN
Crew_10347,JTZV,JTZV
Crew_10348,JTZV,JTZV
Crew_10349,IGVH,IGVH
Crew_10350,YELV,YELV
Crew_10352,XALQ,CGHU
Crew_10353,IGVH,CGHU
Crew_10354,JTZV,ZOEV
Crew_10355,JTZV,JTZV
Crew_10356,JTZV,JTZV
Crew_10357,YELV,YELV
Crew_10358,JTZV,JTZV
Crew_10359,JTZV,JTZV
Crew_10360,JTZV,JTZV
Crew_10361,JTZV,JTZV
Crew_10362,JTZV,JTZV
Crew_10364,JTZV,JTZV
Crew_10365,JTZV,JTZV
Crew_10366,YELV,JTZV
Crew_10367,XALQ,UNUN
Crew_10368,YELV,YELV
Crew_10369,JTZV,ZBRM
Crew_10370,JTZV,JTZV
Crew_10371,XALQ,XALQ
Crew_10372,JTZV,JTZV
Crew_10373,JTZV,JTZV
Crew_10374,JTZV,YELV
Crew_10375,JTZV,JTZV
Crew_10376,JTZV,JTZV
Crew_10377,JTZV,JTZV
Crew_10378,JTZV,JTZV
Crew_10379,JTZV,JTZV
Crew_10381,JTZV,JTZV
Crew_10382,JTZV,YELV
Crew_10383,JTZV,JTZV
Crew_10384,XALQ,XALQ
Crew_10385,JTZV,JTZV
Crew_10386,JTZV,JTZV
Crew_10387,XALQ,XALQ
Crew_10388,JTZV,JTZV
Crew_10389,YELV,YELV
Crew_10390,XALQ,XALQ
Crew_10391,JTZV,WDWO
Crew_10392,IGVH,IGVH
Crew_10393,XALQ,XALQ
Crew_10394,JTZV,JTZV
Crew_10395,JTZV,JTZV
Crew_10396,JTZV,JTZV
Crew_10398,XALQ,JTZV
Crew_10400,XALQ,XALQ
Crew_10401,IGVH,DIZB
Crew_10402,JTZV,JTZV
Crew_10403,JTZV,JTZV
Crew_10404,JTZV,JTZV
Crew_10405,JTZV,JTZV
Crew_10406,JTZV,JTZV
Crew_10407,IGVH,IGVH
Crew_10408,XALQ,XALQ
Crew_10409,JTZV,JTZV
Crew_10410,JTZV,JTZV
Crew_10411,JTZV,JTZV
Crew_10412,JTZV,JTZV
Crew_10414,JTZV,JTZV
Crew_10417,XALQ,XALQ
Crew_10418,XALQ,XALQ
Crew_10419,JTZV,JTZV
Crew_10420,JTZV,QQGB
Crew_10421,JTZV,JTZV
Crew_10422,JTZV,JTZV
Crew_10423,JTZV,ZOEV
Crew_10424,JTZV,JTZV
Crew_10425,JTZV,JTZV
Crew_10426,XALQ,XALQ
Crew_10427,XALQ,XALQ
Crew_10428,IGVH,CGHU
Crew_10430,JTZV,JTZV
Crew_10431,JTZV,JTZV
Crew_10432,XALQ,XALQ
Crew_10433,JTZV,LRNO
Crew_10434,JTZV,ZFTY
Crew_10435,JTZV,JTZV
Crew_10436,XALQ,XALQ
Crew_10437,JTZV,JTZV
Crew_10438,JTZV,JTZV
Crew_10439,XALQ,XALQ
Crew_10440,JTZV,JTZV
Crew_10441,JTZV,ZBRM
Crew_10442,JTZV,JTZV
Crew_10443,IGVH,IGVH
Crew_10444,XALQ,XALQ
Crew_10445,JTZV,JTZV
Crew_10446,JTZV,JTZV
Crew_10447,JTZV,JTZV
Crew_10448,JTZV,LRNO
Crew_10449,XALQ,JTZV
Crew_10450,IGVH,MEEP
Crew_10452,JTZV,JTZV
Crew_10453,JTZV,LRNO
Crew_10454,JTZV,JTZV
Crew_10455,ZFTY,ZFTY
Crew_10456,IGVH,IGVH
Crew_10457,JTZV,JTZV
Crew_10458,JTZV,JTZV
Crew_10459,JTZV,JTZV
Crew_10460,XALQ,XALQ
Crew_10461,IGVH,JTZV
Crew_10462,JTZV,JTZV
Crew_10463,JTZV,JTZV
Crew_10464,JTZV,YELV
Crew_10467,JTZV,JTZV
Crew_10468,XALQ,XALQ
Crew_10470,JTZV,JTZV
Crew_10471,IGVH,IGVH
Crew_10472,JTZV,JTZV
Crew_10473,JTZV,IGVH
Crew_10474,JTZV,ZFTY
Crew_10475,JTZV,JTZV
Crew_10476,JTZV,LRNO
Crew_10477,JTZV,JTZV
Crew_10478,JTZV,JTZV
Crew_10479,JTZV,CGHU
Crew_10480,ZFTY,ZFTY
Crew_10481,JTZV,JTZV
Crew_10482,JTZV,JTZV
Crew_10483,JTZV,JTZV
Crew_10484,JTZV,JTZV
Crew_10485,JTZV,JTZV
Crew_10486,JTZV,JTZV
Crew_10487,XALQ,XALQ
Crew_10488,JTZV,JTZV
Crew_10491,XALQ,XALQ
Crew_10492,IGVH,CGHU
Crew_10493,JTZV,JTZV
Crew_10494,XALQ,XALQ
Crew_10495,JTZV,JTZV
Crew_10496,JTZV,JTZV
Crew_10497,JTZV,JTZV
Crew_10499,JTZV,DFQN
Crew_10500,JTZV,JTZV
Crew_10501,JTZV,JTZV
Crew_10502,XALQ,CGHU
